,userName,score,at,content
0,Pengguna Google,1,2026-09-03 09:16:13,barang ketinggalan udah minta bantu bantuan pusat tapi gak di selesai kan chat driver malah gak di jawba
1,Pengguna Google,1,2026-09-03 07:10:55,aplikasinya tidak bisa terdaftar pas mau daftar selalu terjadi kesalahan
2,Pengguna Google,1,2026-09-03 05:56:56,tiap mesen grab pd jauh gua batalin trs malah dpt yg lbh jauh trs anjg
3,Pengguna Google,2,2026-09-03 04:43:05,bilangin driver nya kalo ga mau ambil suruh batalin aja jangan suruh orang nunggu ga jalan jalan di chat juga lama respon semua bgitu susah bangett
4,Pengguna Google,1,2026-09-03 03:20:02,aplikasi ngga jelas udah 4kali selalu salah titik tujuan padahal sudah di make sure juga tujuannya pasti salah psa pake tengah malem
5,Pengguna Google,1,2026-09-02 23:26:46,woy anak aj iklan lu ganggu bet lu tolol yng punya aplikasi nya tolol bet ajgg iklan lu nganguu ajg
6,Pengguna Google,2,2026-09-02 23:02:02,tolong donk klo bikin iklan tu jangan tiba2 masuk ke aplikasi grab nya gw uda donload grab nya jadi game gw nge freeze ampe harus d unistall ulang dan data nya ilang di aplikasi lain juga klo bikin iklan jangan gitu amat tiba2 terarahkan ke aplikasi kan ganggu amat karna kesel gw apus aja grab nya
7,Pengguna Google,4,2026-09-02 22:59:26,memudahkan prjalanan tetapi kos terlalu mahal
8,Pengguna Google,1,2026-09-02 22:22:21,maaf ini kenapa ya grabnya ngasih titik gak sesuai padhl saya ngasih almatnya udh bener saya sering pake juga alamat itu tapi giliran order makanan malah salah alamatnya trus apk kadang suka lemot harus di refresh dulu brpa kali baru bisa tolong ya
9,Pengguna Google,1,2026-09-02 21:50:18,gajelas orang lagi laper disuruh nunggu pending tolong benerin sistem mau pesen apapun mau makan ojek selalu pending udah 3 bulan kaya gini
10,Pengguna Google,1,2026-09-02 21:19:38,kacau lagi urgent dan download baru masuk batas pilihan layanan dari sore ke malam masih berputar chatnya upgrade lagi seperti apl sebelah
11,Pengguna Google,4,2026-09-02 20:36:48,kenapa ya driver yg food itu kbanyakan jutek pdhal mereka berharap ada orderan buat penghasilan mereka tp ketika di chat kok kbanyakan kya benci ama customer
12,Pengguna Google,1,2026-09-02 19:06:21,voucher tiba hilang padahal belum digunakan
13,Pengguna Google,4,2026-09-02 18:45:20,ribet mau login aja pakai angguk angguk kepala kayak mau pinjol
14,Pengguna Google,3,2026-09-02 18:42:12,kalau driver tidak niat kerja ngantar jangan terima pesanan orang terus di buat tunggu lama ujung ujung nya di cancel sama driver
