,userName,score,at,content,DRIVER_OPS,APP_AND_MAPS,PRICING_AND_BILLING
141,Pengguna Google,1,2026-08-29 11:18:30,gak tau kenapa udah gak kayak dulu lagi pakai grab hemat tunggu waktu 1 jam tapi sampai 1 5 jam payah banget,ABSENT,ABSENT,ABSENT
320,Pengguna Google,1,2026-08-22 00:49:40,skrang grab jelek banget driver nya gapernah dapet yang benar slalu aja pesen grab food anak saya bertanya di jawab nada tinggi seperti membentak kalo pesen makanan dapet drivernya gapernah memuaskan kalo bgni mnding aplikasi sebelah deh skrng grab ga kaya dlu pelayanan nya,NEG,ABSENT,ABSENT
1335,Pengguna Google,1,2026-07-15 11:54:04,driver nya gak jujur jelas naro titik sudah benar tapi ga di cek dulu malah nyolot udah gitu minta tambahan jelas disitu ada keterangan alamat nya dia yang salah malah minta tambah,NEG,ABSENT,ABSENT
1496,Pengguna Google,1,2026-07-08 13:57:12,knpa sya ksi bintang satu karna ada kurir kurang sya suka katanya udh nlpn tpi di cht grab gk ada kan kocak malah saya di marahin baru juga bli dan download apliksi ini lebih parahnya bayarnya di lebih kan di pesanan tidak sgtu lah ini sya buntung 10rb biarkanlah sedekahin aj,NEG,ABSENT,ABSENT
2216,Pengguna Google,1,2026-06-09 16:32:58,jelek banget pelayanannya kurang dan sering bug pdhl pake qris biar sat set eh malah bayar 2x ga rekomen,ABSENT,NEG,NEG
541,Pengguna Google,1,2026-08-14 16:51:14,pembaruan makin ke sini makin memburuk terutama untuk kaum tunanetra pemesanan makanan sehingga tidak bisa dilakukan dengan pembaca layar,ABSENT,NEG,ABSENT
2067,Pengguna Google,1,2026-06-20 17:46:25,sekarang masukin no hp pun eroor apalah ini,ABSENT,NEG,ABSENT
480,Pengguna Google,1,2026-08-16 19:56:44,lucu deh ni apk ga usah ada option hemat kalo ternyata bisa sembarang dimainin driver ga salah drivernya tp apk nya yg bikin aturan aneh mending apk sebelah jelas aturannya,NEG,ABSENT,NEG
3248,Dendo Se,1,2026-05-02 15:56:01,wkwkwk sangat2 tidak worth it aplikasi nya overprice masih mending gojek,ABSENT,ABSENT,NEG
205,Pengguna Google,1,2026-08-26 17:40:05,pdhl alamat udh sesuai titik tpi mlh app nya ngsih jalur jalan di gang sblh ngga jelas,ABSENT,NEG,ABSENT
1796,Pengguna Google,1,2026-06-29 13:24:33,app ga jelas mending yang lain jangan grab ya,ABSENT,NEG,ABSENT
2950,Pengguna Google,1,2026-05-13 21:21:03,saya bayar ongkos grab bike menggunakan qris keterangannya gagal tp dari mobile banking bca saya sudah terpotong 2x pas sy liat transaksi mutasi keluar dimobile banking saya tp si mas grabnya katanya cuma terima pembayaran 1x dari grab yg sy bayar pakai qris bca saya saya sdh lapor ke pusat dari aplikasi grab saya tp dana sy blm dikembalikan yg lebih 1x bayar yg hrs kembalikan pembayaran saya yg lbh 1x bayar pihak grab atau pengemudinya ya,ABSENT,ABSENT,NEG
936,Pengguna Google,1,2026-07-31 21:45:26,baru juga daftar kok dh dibilang berkali kali sih,ABSENT,NEG,ABSENT
1651,Pengguna Google,1,2026-07-03 09:36:58,grabb bike hemat bulan juni jarak 1 km dari rumah ke st cikampek rp 5 sekarang bulan juli jadi rp 9 700 ko berubah ya ko ngga konsisten ya jadi kecewa,ABSENT,ABSENT,NEG
1886,Pengguna Google,1,2026-06-27 02:14:27,malah di tangguhkan padahal ga melakukan salah pun jeleksistem nya jelek bodoh,ABSENT,NEG,ABSENT
863,Pengguna Google,1,2026-08-03 08:11:48,di iklan masih 7rb tapi di aplikasi 9rb,ABSENT,ABSENT,NEG
684,Pengguna Google,1,2026-08-09 01:58:03,saya 1jm nunguin pesanan saya di antar malah di batalin gegara gak ada driver yg antar tolong kasih reting buat kita sebagai konsumen biar mereka pada jerah batalin pengantaran jangn cuma bisa demo doang,NEG,ABSENT,ABSENT
456,Pengguna Google,1,2026-08-17 12:24:37,saya pesan makanan ternyata resto tutup dan hpnya rusak ini bagaimana status penyiapan makanan terus berlangsung dan tidak ada opsi dihentikan sekarang grab tidak bisa dihubungi konsumen dirugikan dengan aplikasi ini,ABSENT,NEG,ABSENT
3082,Pengguna Google,1,2026-05-08 17:54:05,5 kali pesan grab hemat tidak tawar harga 5 kali juga driver cancel lebih gila lagi di cancel pas sudah di lokasi dengan alasan yang tidak betul,NEG,ABSENT,ABSENT
916,Pengguna Google,1,2026-08-01 19:01:16,grab aplikasi lu dah paling bagus tp soal titik maps sumpah bego kalah sama sebelah mana driver lu bego bet dah denial lapor ig balasannya gak jelas lain kali tes uji layak dlu sblm mau jadi driver grab jangan yg bego bego lu trima jadi driver lu drpd nyusahin customer hadeu selalu dpt kejadian tdk mengenakan dari aplikasi ini pdhl selalu berusaha menerima pahit berulang kali tp memang gd perubahan selalu mengecewakan nangis banget magrib magrib ngetik ini,NEG,NEG,ABSENT
3322,Risky Nia,1,2026-04-29 16:35:20,jaringan bagus di apk nya tidak ada jaringan,ABSENT,NEG,ABSENT
3493,Elisabet Suryanti Ndelos,1,2026-04-22 16:10:48,aplikasi paling aneh bisa pilih makanan menu pesannya malah hilang hadehh,ABSENT,NEG,ABSENT
2228,Pengguna Google,1,2026-06-09 11:54:45,saya turunkan penilaian saya dikarenakan tidak bisa membatalkan pesanan padahal hanya salah pencet sepersekian detik banyak pilihan alasan membatalkan yg ditawari oleh grab tapi bertele tele ujung2nya tetap ga bisa membatalkan pesanan,ABSENT,NEG,ABSENT
862,Pengguna Google,2,2026-08-03 10:00:08,kok grabunlimitied tiba2 hilang padahal saya instal grab karena cari promonya saja kalau nggak ada promo mending beralih ke apk lain aja,ABSENT,ABSENT,NEG
686,Pengguna Google,2,2026-08-08 21:06:58,aplikasi kikir anjir checkout penggaris harga 5rb ongkir nya 30rb sendiri gak logis sama aja beli ongkir gratis produk,ABSENT,ABSENT,NEG
1910,Pengguna Google,2,2026-06-26 02:08:33,ya ampun mau ganti nama aja susah di buat muter aj,ABSENT,NEG,ABSENT
